title,url,authors,year,journal,abstract,citations
Influence of analogical domains and comprehensiveness in explanation of analogy on the novelty of designs,https://link.springer.com/article/10.1007/s00163-016-0246-z,S Keshwani,2017.0,Springer,"…Design-by-analogyhas often been considered as a means for novel idea generation (…Therefore, researchers have studieddesign-by-analogyapproaches for supporting its various …",18
Testing design stimuli for design-byanalogy on a large set of designers,https://www.designsociety.org/publication/40697/TESTING+DESIGN+STIMULI+FOR+DESIGN-BYANALOGY+ON+A+LARGE+SET+OF+DESIGNERS,L Jia,2018.0,designsociety.org,"… In other words, the results of the experiments show that the examples provided as sourcesof inspiration fordesign-by-analogydo not present any specific effect of design fixation on the …",2
A content account of creative analogies in biologically inspired design,https://www.cambridge.org/core/journals/ai-edam/article/content-account-of-creative-analogies-in-biologically-inspired-design/C888A14108C7962EC2CCAA0D04974C03,SS Vattam,2010.0,cambridge.org,"… We are presently developing an interactive computational tool called DANE (DesignbyAnalogyto Nature Engine) that is partly informed by the findings described here (Vattam et al., in …",146
"[CITATION][C]Supporting creativity across products, services and product-service systems throughdesign by analogy",,M Grandas,2015.0,,,5
[PDF][PDF]Analogical Creative Thinking and Its Application to Engineering Design and Enterprise,https://core.ac.uk/download/pdf/511316846.pdf,P Mi,2020.0,core.ac.uk,… The research and application development ofDesignbyAnalogy(DbA) and metaphoricaldesign suggests that design could benefit from analogical thinking. Both analogy and …,1
Information and interaction requirements for software tools supporting analogical design,https://www.cambridge.org/core/journals/ai-edam/article/information-and-interaction-requirements-for-software-tools-supporting-analogical-design/FC548AABE32DBB31AC22C064870FBD0A,GT Yargin,2015.0,cambridge.org,"One mode of creative design is for designers to draw analogies that connect the designdomain (eg, a mechanical device) to some other domain from which inspiration is drawn (eg, a …",21
Initial steps toward an analogy retrieval tool based on performance specification,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2013/55850/253757,P Ngo,2013.0,asmedigitalcollection.asme.org,"… Indesign-by-analogy, inventors draw inspiration from natural … to aid concept generationthroughdesign-by-analogy, they are not … , we studied 57design-by-analogyproducts and their …",8
Design by Analogy: Achieving More Patentable Ideas from One Creative Design,https://search.proquest.com/openview/72d98c978befc2b95ec9f0b19661a946/1?pq-origsite=gscholar&cbl=4406321,J Li-Zhen,2018.0,search.proquest.com,"… Indesignbyanalogy, it’sa challenge to retrieve appropriate analogs, meaning that it is alsodifficult to find the alternative contexts where the source design could be transferred. In this …",0
"On the benefits and pitfalls of analogies for innovative design: Ideation performance based on analogical distance, commonness, and modality of examples",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/133/8/081004/478279,J Chan,2011.0,asmedigitalcollection.asme.org,"… These findings suggest guidelines for the effective design and implementation ofdesign-by-analogymethods, particularly a focus on far-field, less-common examples during the …",388
Understanding Designer Mental Models to Support Computer Directed Analogical Design,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/gq67jv14s,RM Arlitt- 2015,2015.0,ir.library.oregonstate.edu,… Within the realm of conceptual design exists a technique calleddesignbyanalogy(DBA) –the practice of reapplying old solutions to new problems. DBA mitigates the effort required to …,0
[CITATION][C]A Model-Based Multidisciplinary Correspondent Methodology forDesign-by-Analogy,,HH Zhang,,,,0
Do Analogies and Analogical Distance Influence Ideation Outcomes in Engineering Design?,https://link.springer.com/chapter/10.1007/978-981-99-3966-4_13,V Srinivasan,2023.0,Springer,"… Further, multiple researchers have investigated the use ofdesign-by-analogyduringideation. However, in this section, only literature that uses patents for stimulation in analogical …",1
Representing analogies: Increasing the probability of innovation,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2006/42584a/265/317290,JS Linsey,2006.0,asmedigitalcollection.asme.org,… A robustdesign-by-analogymethod would enable designers to identify non-obvious … Thiswork takes a two prong approach to ultimately develop both newdesignby-analogymethods …,58
Toward computer aided visual analogy support (CAVAS): augment designers through deep learning,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2021/V006T06A057/1128528,Z Zhang,2021.0,asmedigitalcollection.asme.org,… Few computational tools exist to supportdesign-by-analogybased on …Design-by-analogyconsists of two main steps: retrieving … tools has the potential to enhancedesign-by-analogy. …,12
Idea Inspire 3.0—A tool for analogical design,https://link.springer.com/chapter/10.1007/978-981-10-3521-0_41,A Chakrabarti,2017.0,Springer,"… The Term-Patent Matrix, similar to contradiction matrix, was developed for PAnDA (ProductAspects inDesignbyAnalogy), for patent retrieval to support analogical design [24]. …",49
An Empirical Investigation of the Dimensions of Product Similarity used inDesign by Analogyof Electromechanical Products,https://repository.fit.edu/etd/1085/,AN Tsoka,2020.0,repository.fit.edu,"… resulted in a field calledDesignbyAnalogy(DbA). Research … tools that facilitate or simulatedesignbyanalogy. For example, … To address this limitation,designbyanalogytools such as …",0
Transformation design theory: a meta-analogical framework,https://asmedigitalcollection.asme.org/computingengineering/article-abstract/10/3/031012/464132,J Weaver,2010.0,asmedigitalcollection.asme.org,… design problem is considered to illustrate the potential utility of thisdesign-by-analogyapproach.… the specific products for inspiration and implantation ofdesign-by-analogytechniques. …,66
Generative design for additive manufacturing using a biological development analogy,https://academic.oup.com/jcde/article-abstract/9/2/463/6547705,M Price,2022.0,academic.oup.com,"The transformation in manufacturing capability being driven by new processes, such asadditive manufacturing, offers huge potential for product innovation and opportunity to create …",14
[BOOK][B]Design-analogy performance parameter system (D-APPS),https://search.proquest.com/openview/3078588bc7852cb328dd2c1d3944dabd/1?pq-origsite=gscholar&cbl=18750,BM Lucero,2014.0,search.proquest.com,"… It is possible to potentially diminish the effects of design fixation, by employingdesign-by-analogytechniques.Design-by-analogyis a mechanism for finding additional sources of …",16
[PDF][PDF]The Meaning of “Near” and “Far”: The Impact of Structuring Design Databases and the Effect of Distance of Analogy on Design Output,https://www.academia.edu/download/32212182/fuchanetal-near-far-2013.pdf,J Cagan,,,"… A large area of exploration in the study ofdesign-by-analogy[14–16], and the focus of thiswork, is analogical distance. In the literature, analogical distance is typically operationalized …",0
Mechanical Product Analogy Design Method Based on Structure Similarity,https://www.scientific.net/AMM.127.320,PC Nan,2012.0,Trans Tech Publ,"… 2DesignbyAnalogyGenerally, in solving a problem(target problem), analogical methodis utilized to find a similar one(source problem) and its project, and then by adjusting scheme(…",1
Fostering diverse analogical transfer in bio-inspired design,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2015/57106/257846,JKS Nagel,2015.0,asmedigitalcollection.asme.org,"… [30] conducted a thorough investigation of literature on bio-inspired design, including thecognitive aspects of the practice, from the lens ofdesign-byanalogyto classify the research …",13
Concept design of new grippers using abstraction and analogy,https://journals.sagepub.com/doi/abs/10.1177/0954405413489967,G Fantoni,2013.0,journals.sagepub.com,"…Designbyanalogyis a powerful technique for new design solutions. In the literature, there… This article presents a simple system for structuring thedesign-by-analogymethod, which is …",25
Evaluating the impact of Idea-Inspire 4.0 on analogical transfer of concepts,https://www.cambridge.org/core/journals/ai-edam/article/evaluating-the-impact-of-ideainspire-40-on-analogical-transfer-of-concepts/D71ADA00167259963C38C3C373903112,L Siddharth,2018.0,cambridge.org,"… Analogical design ordesign-by-analogyis one of the idea-generation techniques used inthe conceptual design stage, where information from existing systems (source) from several …",61
Perceived analogical communication in design teams: Development and validation of a scale,https://www.sciencedirect.com/science/article/pii/S0142694X19300808,D Graff,2020.0,Elsevier,Highlights • The use of analogies in communication is important for the performance ofdesign teams. • The receiver's perception of the analogy is important. • Perceived analogies …,8
Analogy as a strategy for supporting complex problem solving under uncertainty,https://link.springer.com/article/10.3758/s13421-012-0227-z,J Chan,2012.0,Springer,"Complex problem solving in naturalistic environments is fraught with uncertainty, which hassignificant impacts on problem-solving behavior. Thus, theories of human problem solving …",98
Creating analogies for design problem-solving: Initial evaluation of an engineering faculty workshop,https://ieeexplore.ieee.org/abstract/document/10102860/,R Lavi,2023.0,ieeexplore.ieee.org,"… Wood, “Designby-analogy: Experimental evaluation of a functional analogy search … fixation:Designbyanalogystudies and nonintuitive findings,” AI EDAM, vol. 30, pp. 185-199, 2016. …",1
Using evolved analogies to overcome creative design fixation,https://link.springer.com/chapter/10.1007/978-0-85729-224-7_6,SM Smith,2010.0,Springer,"Human cognition is critically important in all creative conceptual design. People aresusceptible to design fixation, blocks or impasses caused by a variety of unconscious cognitive …",54
A computational tool for creative idea generation based on analogical reasoning and ontology,https://www.cambridge.org/core/journals/ai-edam/article/computational-tool-for-creative-idea-generation-based-on-analogical-reasoning-and-ontology/70D598044124A0AEBBA73386D99F203F,J Han,2018.0,cambridge.org,"… has proven to generate diverse structures of data in terms of functional and surfacerelations, ultimately leading to the potential production of useful stimuli indesign-by-analogy. In …",100
Testing ideation performance on a large set of designers: effects of analogical distance,https://www.tandfonline.com/doi/abs/10.1080/21650349.2019.1618736,L Jia,2020.0,Taylor & Francis,"… Analogy-based design (orDesign-by-analogy) is a practice in which analogy is appliedin the design process, typically, for helping the designers to get inspired to solve the target …",23
A Study of Collaborative Analogical Design Methods in the Crowdsourcing Context,https://link.springer.com/chapter/10.1007/978-981-19-4472-7_220,H Lu,2021.0,Springer,…Design-by-analogy(DbA) is a design method that uses analogical thinking to inspiredesign ideation (Goel 1997). It is worth noting that many formal and informal analogical design …,0
[CITATION][C]Surveying trends in analogy-inspired product innovation,,P Ngo,2014.0,Georgia Institute of Technology,,5
"[PDF][PDF]Analogies from Function, Flow and Performance Metrics.",https://www.academia.edu/download/84789537/paper10.pdf,CJ Turner,2016.0,academia.edu,"… The DRACULA tool aidsDesignbyAnalogyfor both novice and expert design engineersalike. The program performs dimensional analysis matching using function, flow and …",4
On the value of the Digital Internet/Physical Internet analogy,https://journals.open.tudelft.nl/jscms/article/view/5300,S van Luik,2020.0,journals.open.tudelft.nl,"… When analogies are used to design, it is calleddesign-by-analogy. Many breakthroughideas in the design area are triggered by analogies where solutions from a source domain are …",5
[PDF][PDF]Investigating the effect of functionality level of analogical stimulation on design outcomes,https://www.researchgate.net/profile/Kristin-Wood-2/publication/270183800_Investigating_the_Effect_of_Functionality_Level_of_Analogical_Stimulation_on_Design_Outcomes/links/5bf0c888299bf1124fdadf10/Investigating-the-Effect-of-Functionality-Level-of-Analogical-Stimulation-on-Design-Outcomes.pdf,K Fu,2013.0,researchgate.net,"… modeling and their roles indesign-by-analogy, a brief summary of some existingdesign-by-analogytechniques, methods, … Function andDesign-by-AnalogyIn order to effectively apply …",7
Differences in the use of analogies by designers at different stages of conceptual design,https://dl.designresearchsociety.org/iasdr/iasdr2023/fullpapers/220/,H Lu,2023.0,dl.designresearchsociety.org,"… An important step in this study was to distinguish the two categories of tasks in thedesign-by-analogyprocess. Referring to Hey et al.’s (2008) approach to coding analogy cases, we …",0
Method of Design through Mythology as Analogical Source for Product Service System Design,https://dl.acm.org/doi/abs/10.1145/3446590.3446609,HH Wang,2020.0,dl.acm.org,"… from the broader field ofdesign-by-analogy, Journal of … Wood, KL, 2012,Designbyanalogy:a study of the WordTree … , ""The potential ofdesign-by-analogymethods to support product, …",0
An in situ study of analogical reasoning in novice and experienced design engineers,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/131/11/111004/418119,S Ahmed,2009.0,asmedigitalcollection.asme.org,This paper describes a study to understand the use of analogies by design engineers withdifferent levels of experience in an adaptive design domain. Protocol analyses of 12 design …,82
Explanation-based learning with analogy for impasse resolution,https://www.sciencedirect.com/science/article/pii/S095741741630255X,M Timperley,2016.0,Elsevier,This paper proposes an algorithm for the inclusion of analogy into Explanation-BasedLearning (EBL). Analogy can be used when an impasse is reached to extend the deductive …,5
EnhancingDesign-By-AnalogyProcedure of Injection-Well Gel Treatment Sizes by an Integrated Survey of Case Histories,https://onepetro.org/IPTCONF/proceedings-abstract/22IPTC/3-22IPTC/479967,M Aldhaheri,2022.0,onepetro.org,… Thisdesign-by-analogyprocedure requires reservoir engineers to have a thoroughknowledge about how gel treatments should be designed and have been mostly applied for each …,2
[PDF][PDF]Assistingdesign by analogy,http://anzasca.net/wp-content/uploads/2014/08/ANZAScA2006_Kazjon-S-Grace_John-S-Gero_Robert-Saunders.pdf,KS Grace,,,This paper describes research into situated analogy-making and its application to digitaldesign assistants. It is claimed that computational design support systems that provide …,0
Industrial and biological analogies used creatively by business professionals,https://www.tandfonline.com/doi/abs/10.1080/10400419.2017.1411631,EB Kennedy,2018.0,Taylor & Francis,… This study serves as a source of evidence that biomimicry (designbyanalogyto biology) isan effective approach to product innovation. It also shows that there is an important role for far…,19
Analogies to Succeed: Applications to a Service Design Problem,https://www.designsociety.org/publication/36296/Analogies+to+Succeed%3A+Applications+to+a+Service+Design+Problem,DP Moreno,2014.0,designsociety.org,"… 1.3Design-by-AnalogyMethodsDesign-by-Analogyoperates on the premise that a similarsolution to a given design problem may exist either in an analogous domain or, at least in part…",5
[PDF][PDF]Design Creativity for Every Design Problem: ADesign-by-AnalogyApproach,https://www.researchgate.net/profile/Kristin-Wood-2/publication/270188023_Design_Creativity_for_Every_Design_Problem_A_Design-_by-Analogy_Approach/links/5bf0c505299bf1124fdadeee/Design-Creativity-for-Every-Design-Problem-A-Design-by-Analogy-Approach.pdf,DP Moreno,2014.0,researchgate.net,"… In this article, we proposeDesign-by-Analogy(DbA) as an approach with the potential toeffectively support designers’ creativity during ideation stage for design problems from …",4
Assessing the Methodology ofDesign-by-Analogywith Historical Elements in Iranian'Contemporary Architecture,https://www.rafmagz.com/article_134697.html?lang=en,A Asgari,2021.0,rafmagz.com,"In the middle of the Qajar period, history intervened in education and design. This interventionwas introduced into the architectural literature using metaphor, allegory, and analogy, and …",2
[PDF][PDF]How to design new grippers by analogy,http://www.centropiaggio.unipi.it/sites/default/files/How%20to%20design%20new%20grippers%20by%20analogy.pdf,G Fantoni,2012.0,centropiaggio.unipi.it,… In the following paragraphs the paper presents ourdesignbyanalogyapproach basedon functional analysis. An illustrative case of study is used to explore the application of the …,11
Understanding Internal Analogies in Engineering Design: Observations from a Protocol Study,https://link.springer.com/chapter/10.1007/978-81-322-1050-4_17,V Srinivasan,2013.0,Springer,"…Design-by-analogyis used to produce creative solutions [1–3], in particular to enhance …Design-by-analogyinvolves the transfer of analogous knowledge from a source domain to a …",2
Does analogical distance affect performance of ideation?,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/140/7/071101/366174,V Srinivasan,2018.0,asmedigitalcollection.asme.org,"… Therefore, in engineering design, several types of support to encourage the use of stimulihave been proposed under the realm ofdesign-by-analogyand found to be effective at …",59
The architecture of music:Design by analogy,https://researchspace.auckland.ac.nz/items/bf19546b-2e16-48e2-a8e7-dad887a4b9b1,M Petreski,2016.0,researchspace.auckland.ac.nz,"Music has the potential to evoke some of our deepest emotions and drastically alter our moodssimply through specific combinations of notes. Architecture too, should have this potential…",2
KATHERINE FU AND CHRISTIAN SCHUNN,https://books.google.com/books?hl=en&lr=&id=Q-MSDAAAQBAJ&oi=fnd&pg=PA13&dq=Design-by-Analogy&ots=WdyYwy83cp&sig=EWF3GH9BESqToLAb-4ZY0PqAWs0,SDesign-by-Analogy- … and Practical Perspectives on the Journey …,2016.0,books.google.com,"A promising basis for the next engines of design innovation practice in open innovation isdesign-by-analogy, in which designers are exposed to and map design solutions from other …",0
An approach todesign-by-analogyusing structure mapping theory,https://ieeexplore.ieee.org/abstract/document/7988128/,HH Wang- 2017 International Conference on Applied System …,2017.0,ieeexplore.ieee.org,This study proposes a framework ofDesign-by-Analogy(DbA) based on Structure MappingTheory (SMT). A workshop is held to apply the framework to transforming the observation on …,2
AnalogiLead: Improving Selection of Analogical Inspirations with Chunking and Recombination,https://dl.acm.org/doi/abs/10.1145/3591196.3596817,A Srinivasan,2023.0,dl.acm.org,"…DesignbyAnalogy: A Study of the WordTree Method for Problem Re-Representation. Journalof Mechanical Design 134, 4 (2012), 041009. https://doi.org/10.1115/1.4006145 Citation …",0
Analysis of critical functionality for meta analogy via performance specification,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2013/55850/253767,B Lucero,2013.0,asmedigitalcollection.asme.org,… The process for analogical retrieval is the same for all methods ofdesign-by-analogy…Design-by-Analogyhas become an ever-increasingly useful tool to aid engineers in finding …,5
Use of analogies by novice and experienced design engineers,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2008/11/329326,S Ahmed,2008.0,asmedigitalcollection.asme.org,This paper describes a study to understand the use of analogies by design engineers withdifferent levels of experience. Protocol analyses of twelve design engineers have been …,9
An experimental investigation of analogy formation using the engineering-to-biology thesaurus,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2013/V005T06A007/255810,MW Glier,2013.0,asmedigitalcollection.asme.org,"… Among these tools are AskNature.org, IDEA-INSPIRE [2, 20] and theDesignbyAnalogyto Nature Engine [1]. Such tools have the advantage of presenting multimedia information on …",18
Using crowdsourcing to provide analogies for designer ideation in a cognitive study,https://www.designsociety.org/publication/39871/Using+crowdsourcing+to+provide+analogies+for+designer+ideation+in+a+cognitive+study,K Goucher-Lambert,2017.0,designsociety.org,"… The work presented in this paper looks to combine and explore crowdsourcing withdesignbyanalogy. In particular, there are two main aims of this paper. First, we seek to determine …",23
A procedure proposal for developing novel ideas for military products: Domain expert knowledge transfer throughdesign by analogy,https://search.proquest.com/openview/3be2ef571b35573d7e11307a27c33fc7/1?pq-origsite=gscholar&cbl=2026366&diss=y,U Yücelmiş,2018.0,search.proquest.com,"… To overcome this problem, there are manyDesignby-Analogy(… Expert Knowledge TransferThroughDesign-by-Analogy(DEKT-… of designers ondesignbyanalogyand other methods or …",0
SMFM-based analogy retrieval tool for the conceptual design of innovative products,https://www.sciencedirect.com/science/article/pii/S0166361523001239,H Liu,2023.0,Elsevier,…Design-by-Analogy(DbA) is a powerful approach to innovative conceptual design. Cross-domainanalogies are the stimulated sources of inspiration for generating new concepts. …,2
Supporting designers in generating novel ideas at the conceptual stage using analogies from the biological domain,http://etd.iisc.ac.in/handle/2005/4205,S Keshwani- 2019,2019.0,etd.iisc.ac.in,"… in novel idea generation usingdesign-by-analogymethod, in … inspired design anddesign-by-analogymethods, were … literature in the domain ofdesign-by-analogy. This addressed …",4
Dimensions of Similarity Used to Identify Products As Sources of Analogy,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2020/83976/1089973,AN Tsoka,2020.0,asmedigitalcollection.asme.org,"… memory related to her life experiences, thedesign-by-analogytools such as AskNature [10] …However, these and otherdesign-by-analogytools mainly rely on function-based similarity …",2
A step beyond to overcome design fixation: Adesign-by-analogyapproach,https://orbilu.uni.lu/handle/10993/19924,DP MORENO GRANDAS,2014.0,orbilu.uni.lu,"… The study then explores the relevant ideation approach ofDesign-by-Analogy(DbA) toovercome design fixation, with a fixation experiment of 73 knowledge-domain experts. The study …",2
"Do Analogies and Analogical Distance Influence Ideation Outcomes in Engineering Design? V. Srinivasan, Binyang Song, Jianxi Luo, Karupppasamy Subburaj …",https://books.google.com/books?hl=en&lr=&id=H73SEAAAQBAJ&oi=fnd&pg=PA209&dq=Design-by-Analogy&ots=-QB15bwF-k&sig=kZz3eGGejHgTagquWvf2uIzkC8w,MR Elara- … Cognitive Science and Technology: Implications of …,2023.0,books.google.com,"… Further, multiple researchers have investigated the use ofdesign-byanalogyduringideation. However, in this section, only literature that uses patents for stimulation in analogical …",1
"Representing analogies to influence fixation and creativity: A study comparing computer-aided design, photographs, and sketches",https://www.cambridge.org/core/journals/ai-edam/article/representing-analogies-to-influence-fixation-and-creativity-a-study-comparing-computeraided-design-photographs-and-sketches/2DA327FF83BB5697885489CBD9B715BD,O Atilola,2015.0,cambridge.org,"… ofdesignbyanalogycan be a powerful tool for innovative design (Chan et al., 2011).Designbyanalogyis a …Designbyanalogyincreases creativity and expands the solution space. In …",40
Bio-inspired design: the impact of collaboration between engineers and biologists on analogical transfer and ideation,https://link.springer.com/article/10.1007/s00163-020-00333-w,H Hashemi Farzaneh- Research in Engineering Design,2020.0,Springer,"To develop innovative technical solutions, designers seek inspiration from nature and itsalmost infinite pool of biological solutions. However, understanding biological solutions and …",36
[CITATION][C]Analogical reasoning in architecture,,SR Majeed,2019.0,Al-Qadisiyah University,,3
[CITATION][C]Mediated Analogy: From Practice to Theory to Collaborative Technology,,S Vattam- 2011,2011.0,Technical Report GIT-GVU-11-01 …,,1
